scenario,wacc_scenario,lcoe_usd_mwh
candu_ec6,government,105.87261147204532
ap1000,government,96.95284729272636
candu_ec6,government,105.79850788386355
ap1000,government,91.22673199639733
candu_ec6,government,103.18534992429132
ap1000,government,105.10075581708494
candu_ec6,government,104.57105608284913
ap1000,government,84.28408350418678
candu_ec6,government,102.65037333594894
ap1000,government,86.90670303779847
candu_ec6,government,102.51097435013718
ap1000,government,95.96509862393737
candu_ec6,government,102.69313346474023
ap1000,government,101.34736962566242
candu_ec6,government,106.98591999027852
ap1000,government,103.63816396842797
candu_ec6,government,98.46933552752434
ap1000,government,97.00428658479262
candu_ec6,government,97.56807735968616
ap1000,government,112.0634023135428
candu_ec6,government,107.27336284020153
ap1000,government,89.51924689118856
candu_ec6,government,94.67494501415938
ap1000,government,97.84897236736475
candu_ec6,government,100.56571865835222
ap1000,government,103.10953346163438
candu_ec6,government,97.53910571176556
ap1000,government,99.85133132932522
candu_ec6,government,100.54700003687887
ap1000,government,98.30718030668798
candu_ec6,government,106.18073576534142
ap1000,government,102.82320383081576
candu_ec6,government,102.26546558924703
ap1000,government,93.62561874159198
candu_ec6,government,110.771395646862
ap1000,government,99.16684186138778
candu_ec6,government,95.84174020631359
ap1000,government,103.53354862971888
candu_ec6,government,103.6534206686559
ap1000,government,97.43460268220706
candu_ec6,government,104.78873272155415
ap1000,government,90.54225336913346
candu_ec6,government,97.0061665800212
ap1000,government,104.1858439701556
candu_ec6,government,102.60199832876559
ap1000,government,99.12502619181058
candu_ec6,government,104.69458266599052
ap1000,government,96.70570011885982
candu_ec6,government,99.05001312233271
ap1000,government,111.10165456406604
candu_ec6,government,98.66709745306834
ap1000,government,103.24132280771799
candu_ec6,government,112.60123119105518
ap1000,government,93.42578793125007
candu_ec6,government,101.73295329857449
ap1000,government,102.86712512750621
candu_ec6,government,104.48711407845705
ap1000,government,109.13502159794143
candu_ec6,government,106.25133582499946
ap1000,government,95.7898388346504
candu_ec6,government,105.03298188203783
ap1000,government,103.24819944497479
candu_ec6,government,100.57173830400326
ap1000,government,95.81250470217144
candu_ec6,government,96.54778733559807
ap1000,government,100.84115787794723
candu_ec6,government,101.01565843501267
ap1000,government,98.11696776580301
candu_ec6,government,99.30628908376934
ap1000,government,97.36262700981358
candu_ec6,government,105.87565376342857
ap1000,government,90.48550340792869
candu_ec6,government,100.40457458102678
ap1000,government,86.20734716554546
candu_ec6,government,89.44395756666805
ap1000,government,86.33113454967302
candu_ec6,government,94.80138853672355
ap1000,government,103.14903400189253
candu_ec6,government,104.76187993459222
ap1000,government,96.14946470054045
candu_ec6,government,96.75114174353351
ap1000,government,91.72949911838333
candu_ec6,government,104.6131341537825
ap1000,government,97.68833464817618
candu_ec6,government,106.78640390112209
ap1000,government,107.10318164118857
candu_ec6,government,102.3836256989053
ap1000,government,99.13324240073644
candu_ec6,government,110.33255879644715
ap1000,government,93.65212524761436
candu_ec6,government,101.54309668870823
ap1000,government,87.05624353778977
candu_ec6,government,99.87001739561754
ap1000,government,106.33040717684655
