scenario,wacc_scenario,lcoe_usd_mwh
ap1000,0.04,95.42058592199494
ap1000,0.04,92.51103893762944
ap1000,0.04,90.04420638805371
ap1000,0.04,91.44548923190257
ap1000,0.04,93.33216822363127
ap1000,0.04,93.60065511614715
ap1000,0.04,95.96101861322674
ap1000,0.04,91.83370362614332
ap1000,0.04,86.08693223074656
ap1000,0.04,91.45643639816227
ap1000,0.04,99.24911304148618
ap1000,0.04,99.0953474698821
ap1000,0.04,94.24893216400672
ap1000,0.04,90.04901967237478
ap1000,0.04,92.82692712275666
ap1000,0.04,96.38225690654008
ap1000,0.04,94.741987257299
ap1000,0.04,92.48714214380689
ap1000,0.04,97.19234939795122
ap1000,0.04,89.69677528861274
ap1000,0.04,106.07379215094612
ap1000,0.04,98.39707248135679
ap1000,0.04,101.60766800443895
ap1000,0.04,88.25417388847318
ap1000,0.04,80.68351724518526
ap1000,0.04,87.35539118077614
ap1000,0.04,93.0272596446236
ap1000,0.04,96.49505045140889
ap1000,0.04,107.39375793702841
ap1000,0.04,103.6862957937632
ap1000,0.04,92.92961852582957
ap1000,0.04,95.57056681823458
ap1000,0.04,92.7613592478203
ap1000,0.04,83.31502491967679
ap1000,0.04,90.90488650609952
ap1000,0.04,99.453717495835
ap1000,0.04,98.37560319611454
ap1000,0.04,95.50974481270072
ap1000,0.04,106.07531722806313
ap1000,0.04,80.27766872109162
ap1000,0.04,96.90953747263109
ap1000,0.04,80.29611540981476
ap1000,0.04,101.53845193846965
ap1000,0.04,99.15236329817289
ap1000,0.04,86.11696446936898
ap1000,0.04,96.36079666284422
ap1000,0.04,83.23434707159254
ap1000,0.04,87.53533143759716
ap1000,0.04,85.584963229562
ap1000,0.04,86.45019504469802
ap1000,0.04,92.70694803091091
ap1000,0.04,92.05969077680804
ap1000,0.04,90.60769875212596
ap1000,0.04,79.30040972448013
ap1000,0.04,93.19017564892208
ap1000,0.04,87.05740070698494
ap1000,0.04,83.44911564081532
ap1000,0.04,87.6817349187308
ap1000,0.04,94.92252869561027
ap1000,0.04,91.95688882276096
ap1000,0.04,98.85348966824667
ap1000,0.04,85.44896063471941
ap1000,0.04,98.93994174234693
ap1000,0.04,92.72349171058775
ap1000,0.04,95.03707149513991
ap1000,0.04,89.11773963126673
ap1000,0.04,81.71581483309859
ap1000,0.04,89.59654822586795
ap1000,0.04,87.42288579024671
ap1000,0.04,88.31411324213188
ap1000,0.04,89.4182867695543
ap1000,0.04,87.80742003413548
ap1000,0.04,85.64704150001114
ap1000,0.04,98.01511899047829
ap1000,0.04,90.53615036098272
ap1000,0.04,84.29763469022895
ap1000,0.04,87.58066518802653
ap1000,0.04,100.27805315574138
ap1000,0.04,95.75347526349302
ap1000,0.04,98.90879594323376
ap1000,0.04,91.08240452522726
ap1000,0.04,90.7038715032664
ap1000,0.04,80.26766713321022
ap1000,0.04,100.66915203389115
ap1000,0.04,93.21009139984925
ap1000,0.04,97.80620095054431
ap1000,0.04,84.04119027712852
ap1000,0.04,99.07095149871529
ap1000,0.04,93.39686148769167
ap1000,0.04,96.78667458438167
ap1000,0.04,104.87939115783182
ap1000,0.04,94.33269018538483
ap1000,0.04,92.32629618323605
ap1000,0.04,88.58907702306207
ap1000,0.04,94.55446948315543
ap1000,0.04,88.71070122665273
ap1000,0.04,88.91006801842772
ap1000,0.04,90.6302516395213
ap1000,0.04,90.33792883205294
ap1000,0.04,95.63220249255656
ap1000,0.04,91.21842866318637
ap1000,0.04,100.27821338602105
ap1000,0.04,93.10499054584645
ap1000,0.04,97.55651712494023
ap1000,0.04,98.5911665625853
ap1000,0.04,87.73855540917164
ap1000,0.04,101.0912604663419
ap1000,0.04,101.91012850959311
ap1000,0.04,86.54955199356192
ap1000,0.04,83.70776176630302
ap1000,0.04,94.03032756787312
ap1000,0.04,89.63748832321369
ap1000,0.04,91.57006099165513
ap1000,0.04,92.67669190838961
ap1000,0.04,87.77487829392975
ap1000,0.04,90.32584889094487
ap1000,0.04,91.26315925446356
ap1000,0.04,98.24348320818518
ap1000,0.04,96.27016961151296
ap1000,0.04,104.15228266846027
ap1000,0.04,98.74012822882973
ap1000,0.04,86.97814588812952
ap1000,0.04,92.02890347055178
ap1000,0.04,89.83147501253545
ap1000,0.04,90.46146884350617
ap1000,0.04,94.67567352839065
ap1000,0.04,94.9214024842804
ap1000,0.04,100.70463750956235
ap1000,0.04,91.23718682767331
ap1000,0.04,99.79062073045284
ap1000,0.04,96.62062323233135
ap1000,0.04,83.76224559198512
ap1000,0.04,86.36979385336437
ap1000,0.04,92.13080714977475
ap1000,0.04,104.60894885833234
ap1000,0.04,95.86935552270319
ap1000,0.04,97.24802273666641
ap1000,0.04,80.67103602345549
ap1000,0.04,96.86693772084814
ap1000,0.04,96.81415311419056
ap1000,0.04,95.5411837620329
ap1000,0.04,90.83457593084357
ap1000,0.04,85.66892256980984
ap1000,0.04,88.63340020216297
ap1000,0.04,100.76520624528808
ap1000,0.04,95.18249323723713
ap1000,0.04,93.7973705449114
ap1000,0.04,95.82381572129778
ap1000,0.04,93.10742972621395
ap1000,0.04,85.27230271879229
ap1000,0.04,94.51432446871986
ap1000,0.04,82.2059638186419
ap1000,0.04,96.8872780151685
ap1000,0.04,91.14609118664146
ap1000,0.04,101.32260027866245
ap1000,0.04,103.30982976133181
ap1000,0.04,101.32748400402122
ap1000,0.04,90.92415045605507
ap1000,0.04,92.06126729428706
ap1000,0.04,87.86644837117373
ap1000,0.04,81.11037254311042
ap1000,0.04,90.64252877237055
ap1000,0.04,105.89051350259925
ap1000,0.04,89.24796444418946
ap1000,0.04,83.66615034122275
ap1000,0.04,95.74087355033993
ap1000,0.04,92.93262048925098
ap1000,0.04,94.08554115733423
ap1000,0.04,89.14155290584532
ap1000,0.04,90.08738612478012
ap1000,0.04,100.43050137522944
ap1000,0.04,100.16619153962542
ap1000,0.04,95.37058616312179
ap1000,0.04,99.28305103078624
ap1000,0.04,98.62285238840927
ap1000,0.04,86.34676543449315
ap1000,0.04,96.51015251562139
ap1000,0.04,84.80793754553136
ap1000,0.04,97.47214212864601
ap1000,0.04,92.01747671024552
ap1000,0.04,87.70643882752174
ap1000,0.04,93.77165285709218
ap1000,0.04,90.09826064507571
ap1000,0.04,93.62723783458843
ap1000,0.04,104.13048127411575
ap1000,0.04,95.11495446316526
ap1000,0.04,99.25062833078506
ap1000,0.04,96.12132324661505
ap1000,0.04,79.09699674788588
ap1000,0.04,103.81976642736939
ap1000,0.04,85.08118433640809
ap1000,0.04,98.80584240299443
ap1000,0.04,80.8030748058569
ap1000,0.04,89.54710832566005
ap1000,0.04,96.47485767078747
ap1000,0.04,94.09870387970416
ap1000,0.04,96.21104301398309
ap1000,0.04,92.31432286840224
ap1000,0.04,96.94561023887574
ap1000,0.04,100.40928995915078
ap1000,0.04,96.21548545871853
ap1000,0.04,83.17132361856086
ap1000,0.04,92.8046421464695
ap1000,0.04,97.22929954024683
ap1000,0.04,94.76439272172804
ap1000,0.04,92.26261320225883
ap1000,0.04,95.90369822428062
ap1000,0.04,89.33038590783634
ap1000,0.04,97.24012911622088
ap1000,0.04,100.6302129279554
ap1000,0.04,96.5104204273232
ap1000,0.04,101.08980473256405
ap1000,0.04,93.29184561783022
ap1000,0.04,91.36518405567928
ap1000,0.04,85.19848470756803
ap1000,0.04,92.24077434598603
ap1000,0.04,105.2507178877323
ap1000,0.04,97.87341937052265
ap1000,0.04,95.72003332695579
ap1000,0.04,91.95963898652224
ap1000,0.04,96.34827854770859
ap1000,0.04,90.82187076482438
ap1000,0.04,90.74468380494059
ap1000,0.04,92.44587636265568
ap1000,0.04,88.34000089323888
ap1000,0.04,84.94962049790597
ap1000,0.04,94.52161254875834
ap1000,0.04,95.27580484058232
ap1000,0.04,98.21687047788481
ap1000,0.04,94.97207587345726
ap1000,0.04,94.15422031424924
ap1000,0.04,106.87718334304017
ap1000,0.04,96.77658179943596
ap1000,0.04,101.57883435590473
ap1000,0.04,106.15519108551496
ap1000,0.04,102.7812076308984
ap1000,0.04,99.62219233481369
ap1000,0.04,99.59485400819725
ap1000,0.04,101.21033326773203
ap1000,0.04,95.02391568508433
ap1000,0.04,98.65639779882767
ap1000,0.04,87.23536138482442
ap1000,0.04,100.12303326721725
ap1000,0.04,86.09675870451743
ap1000,0.04,103.50737540509067
ap1000,0.04,95.49415525135215
ap1000,0.04,88.70635213462121
ap1000,0.04,90.90495497664074
ap1000,0.04,93.02723945824499
ap1000,0.04,103.34747374161938
ap1000,0.04,95.28647824731178
ap1000,0.04,87.1192739694169
ap1000,0.04,90.95131252396949
ap1000,0.04,98.54404295571732
ap1000,0.04,95.67357873692436
ap1000,0.04,101.41773461273455
ap1000,0.04,89.94951190183897
